,1_3m,2_3m,3_3m,6_3m,7_3m,8_3m,10_3m,12_3m,13_3m,14_4m,15_3m,16_4m
Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Surface 1;Candidatus Pelagibacter;uncultured marine bacterium,0,0,0,0,0,0,0,8.35E-05,0,0,0.000824704,0.00467847
Bacteria;Proteobacteria;Betaproteobacteria;Methylophilales;Methylophilaceae;OM43 clade;marine metagenome,0,0,0,0.002968655,0,0,0,0,0,0,0,0.002568572
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;SAR86 clade;uncultured bacterium;Other,0,0,0,0.000611194,0.002387153,0,0.000900698,0.000334085,0.000155473,0.000207663,0.000366535,0.000275204
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;uncultured;uncultured Rhodobacteraceae bacterium,0,0,0,0.001571641,0,0,0,0.000501128,0,0.001142145,0.001099606,0.000917347
Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Surface 1;Candidatus Pelagibacter;uncultured SAR11 cluster alpha proteobacterium,0,0,0,0.002444774,0,0,0,0.000584649,0,0.001142145,9.16E-05,0.000825612
Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Surface 2;uncultured bacterium;Other,7.32E-05,0,0,0.001571641,0.002604167,0,0.000225175,0.000167043,0.000155473,0,9.16E-05,0.000183469
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Tenacibaculum;Tenacibaculum sp. AB401d,0,0,0,0,0,0,0,0.002923244,0,0.001557471,0.000549803,0
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Sva0996 marine group;uncultured actinobacterium;Other,0,0,0,0.002008207,0,0,0,0,7.77E-05,0.000622988,0,0.002293368
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;NS11-12 marine group;uncultured Bacteroidetes bacterium;Other,0.000366247,0.001321819,0.001360407,0,0,0,0.000900698,0,0.000699627,0,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;JTB255 marine benthic group;uncultured bacterium;Other,7.32E-05,0,0,0.002270148,0,0,0,0,0,0.000415326,0,0.001834694
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Candidatus Aquiluna;uncultured bacterium,0,0,0,0.000960447,0,0,0.000225175,0,0.001399254,0.001557471,0,0.000366939
Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Surface 1;uncultured bacterium;Other,0,0,0,0.002095521,0,0,0.000225175,0,0.001010572,0.000103831,0.000916338,9.17E-05
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingobium;uncultured Sphingobium sp.,0,0,5.04E-05,0.000436567,0,7.77E-05,0.000225175,0.000334085,0,0.001868965,0.001282874,9.17E-05
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Luminiphilus;uncultured OM60 clade bacterium,0,8.81E-05,0.000201542,8.73E-05,0.003255208,0,0.000225175,0.000250564,0.000155473,0.000103831,0,0
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Cryomorphaceae;Fluviicola;uncultured Flavobacteriia bacterium,0,0,0,0.002532088,0,0,0,0,0,0,0,0.001742959
Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bdellovibrionaceae;OM27 clade;uncultured marine microorganism,0,0.001233698,0.000655011,0.000174627,0.000217014,0.000466164,0.000900698,0,0.000388682,0,0,9.17E-05
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;NS3a marine group;uncultured bacterium,7.32E-05,0,0,0,0,7.77E-05,0.000675524,0.000250564,0.002643035,0.000103831,9.16E-05,0
Bacteria;Proteobacteria;Betaproteobacteria;Methylophilales;Methylophilaceae;OM43 clade;uncultured OM43 clade bacterium,0,0,0,0.001135074,0,0,0,0,0,0,0,0.002752041
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;uncultured bacterium GRIST22;Other,0.00109874,0,0,0.000960447,0,0.00038847,0,0.000334085,0,0,0,0.000825612
Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;uncultured;uncultured bacterium;Other,0,0,0,0.001658954,0,0,0,0,0,0.00072682,0,0.001100816
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;OM60(NOR5) clade;uncultured bacterium,7.32E-05,0,0,0.000698507,0,0,0.000900698,0.000501128,7.77E-05,0.000311494,0.000549803,0.000275204
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Polaribacter;Polaribacter sp. PG-5,0,0,0,0.000698507,0.000542535,0.000621552,0,0,0,0.001349808,0,0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Marinovum;unidentified marine bacterioplankton,0,0,0,0,0,0,0.003152443,0,0,0,0,0
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Saprospiraceae;Aureispira;uncultured Bacteroidetes bacterium,0.000219748,0.000881213,0.000151156,0,0.000217014,0.000543858,0.000225175,0.000417606,0.000310945,0,0.000183268,0
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Phenylobacterium;uncultured bacterium,0,0,0,0,0,0,0,0,0.000155473,0.002907279,0,0
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;NS9 marine group;uncultured Bacteroidetes/Chlorobi group bacterium;Other,0,8.81E-05,0,0,0,7.77E-05,0,0.000584649,0,0,0,0.002293368
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;NS7 marine group;uncultured Bacteroidetes bacterium;Other,0,0,0,0,0,0,0,0,0,0,0,0.003027245
Bacteria;Proteobacteria;Gammaproteobacteria;E01-9C-26 marine group;uncultured bacterium;Other;Other,0,0,0,0.000873134,0,0.000155388,0,0.000167043,0.000155473,0.000519157,0.000458169,0.000642143
Bacteria;Proteobacteria;Deltaproteobacteria;SAR324 clade(Marine group B);uncultured delta proteobacterium;Other;Other,0,0,0,0.00026194,0.000108507,0,0,0.000334085,0.000310945,0.00072682,0.001099606,9.17E-05
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Defluviicoccus;uncultured alpha proteobacterium,0,0,0,8.73E-05,0.000325521,0,0.000225175,0.000334085,0.000699627,0.000830651,0.000274901,9.17E-05
Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bdellovibrionaceae;OM27 clade;uncultured proteobacterium,0,0,0,0.001309701,0,0,0,0,0,0.000519157,9.16E-05,0.000917347
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Defluviicoccus;uncultured SAR11 cluster alpha proteobacterium,0,0,0,0.001135074,0,0,0,0,0,0.000519157,9.16E-05,0.001009082
Bacteria;Proteobacteria;Betaproteobacteria;Hydrogenophilales;Hydrogenophilaceae;Thiobacillus;uncultured marine bacterium,0,0,0,8.73E-05,0.000108507,0,0.001125873,0.000250564,0.000621891,0,0.000458169,0
Bacteria;Fibrobacteres;Fibrobacteria;Fibrobacterales;Fibrobacteraceae;uncultured;uncultured Fibrobacteres bacterium,0,0,0,0,0.000108507,0,0,0,0,0,0,0.002385102
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;SAR92 clade;uncultured gamma proteobacterium,0,0,0,8.73E-05,0.002278646,0,0,0,0,0,9.16E-05,0
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Saprospiraceae;uncultured;uncultured Bacteroidetes bacterium,0,0,0,0.001135074,0,0,0,0,0,0.000103831,9.16E-05,0.001100816
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Roseobacter;uncultured Sulfitobacter sp.,0,0,0,0,0.002387153,0,0,0,0,0,0,0
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Sva0996 marine group;uncultured bacterium;Other,0,0,0,0,0,0.000543858,0.000225175,0,7.77E-05,0.000830651,0.000641437,0
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Mesoflavibacter;marine bacterium SCRIPPS_413,0,0.001145576,0.000806167,0,0,0,0,0.000167043,0,0,0.000183268,0
Bacteria;Cyanobacteria;ML635J-21;uncultured marine bacterium;Other;Other;Other,0,0,0,0.00104776,0,0,0,0,0,0,0.000274901,0.000917347
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;JTB255 marine benthic group;uncultured Sinobacteraceae bacterium;Other,0,0,0,0.00026194,0,0,0,8.35E-05,0,0.001868965,0,0
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Cryomorphaceae;Owenweeksia;uncultured marine bacterium,0,0,0,0.000873134,0,0,0,0,0,0.000207663,9.16E-05,0.001009082
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Cupriavidus;uncultured bacterium,0.000219748,0,0,0,0,0,0.000225175,0.00066817,0.0008551,0.000103831,9.16E-05,0
Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;SAR406 clade(Marine group A);uncultured bacterium;Other,0,0,0,0.00078582,0,0,0,0.000250564,0.000233209,0.000311494,0,0.000550408
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingobium;Sphingobium czechense LL01,0.001318488,0.000616849,0,0,0,0.000155388,0,0,0,0,0,0
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;NS3a marine group;uncultured Bacteroidetes bacterium,0,0,0,0,0.000217014,7.77E-05,0,8.35E-05,0.000388682,0.000311494,0.001007972,0
Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae;Reichenbachiella;uncultured Bacteroidetes bacterium,0.000292997,0.000264364,0.000503854,0,0,0.000466164,0.000450349,0,0,0,0,0
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Saprospiraceae;uncultured;uncultured Sphingobacteria bacterium,0.000439496,0,0,0,0,0.000233082,0.000450349,0.000334085,0,0.000415326,9.16E-05,0
Bacteria;Proteobacteria;Alphaproteobacteria;OCS116 clade;uncultured alpha proteobacterium;Other;Other,0,0,0,0,0,0,0,8.35E-05,0,0.001661302,0.000183268,0
Bacteria;Actinobacteria;Actinobacteria;PeM15;uncultured bacterium;Other;Other,7.32E-05,0.000616849,0.000302313,0,0,0.000543858,0,0,0,0.000207663,0.000183268,0
Bacteria;Fibrobacteres;Fibrobacteria;Fibrobacterales;Fibrobacteraceae;uncultured;uncultured microorganism,0,0,0,0.001920894,0,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Rickettsiaceae;Rickettsia;uncultured Rickettsia sp.,0.000878992,0.000264364,0.000352698,0.000174627,0,0,0.000225175,0,0,0,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;KI89A clade;uncultured marine bacterium;Other;Other,0,0,0,0.000174627,0.001193576,0,0.000225175,0,0.000155473,0,0,9.17E-05
Bacteria;Proteobacteria;Alphaproteobacteria;OCS116 clade;uncultured OCS116 cluster bacterium;Other;Other,0,0,0,0,0,0,0,0,0.001710199,0.000103831,0,0
Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bacteriovoracaceae;Peredibacter;uncultured bacterium,0.000292997,0.000176243,0,8.73E-05,0,0.000155388,0.000225175,0.000250564,0.000310945,0.000103831,0,0.000183469
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Nitrospinaceae;Nitrospina;uncultured bacterium,0,0,5.04E-05,0,0,0,0,8.35E-05,0.000155473,0.001453639,0,0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidisoma;Acidisoma tundrae,0,0,0,0.000174627,0,0,0,0,0,0.001453639,9.16E-05,0
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;uncultured;uncultured Bacteroidetes/Chlorobi group bacterium,0,0,0,0,0,0,0,8.35E-05,0.001632463,0,0,0
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Saprospiraceae;uncultured;uncultured bacterium,0,0,0,0,0,7.77E-05,0,0.001252819,7.77E-05,0,0.000274901,0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Candidatus Planktomarina (DC5-80-3 lineage);uncultured Roseobacter sp.,0,0,0,0.001658954,0,0,0,0,0,0,0,0
Bacteria;Cyanobacteria;ML635J-21;uncultured bacterium;Other;Other;Other,7.32E-05,0.000881213,0.000151156,0.00026194,0,0,0,8.35E-05,7.77E-05,0,0,9.17E-05
Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis;Unknown Family;Arenicella;uncultured bacterium,0.001611485,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Lentibacter;uncultured bacterium,0,0,0,0,0,0,0.001576222,0,0,0,0,0
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;uncultured bacterium,0.001318488,8.81E-05,5.04E-05,0,0,0,0,0,0,0,0,9.17E-05
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;uncultured alpha proteobacterium,0.000732493,0.000616849,0,0,0.000108507,7.77E-05,0,0,0,0,0,0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;Desulfobulbus;uncultured bacterium,0,0,0,0.000436567,0,0,0,0,7.77E-05,0,0,0.001009082
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Rickettsiales Incertae Sedis;Candidatus Lariskella;uncultured bacterium,7.32E-05,0,5.04E-05,0,0,0.000233082,0.000675524,0,7.77E-05,0.000207663,9.16E-05,9.17E-05
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;T9d;uncultured bacterium;Other,0,0,0,0.00026194,0,0,0,0,0,0.001038314,9.16E-05,9.17E-05
Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;uncultured;uncultured Sorangiineae bacterium;Other,0,0,0,0.000349253,0,0,0.000225175,0,0,0.000415326,0.000183268,0.000275204
Bacteria;Proteobacteria;Gammaproteobacteria;Order Incertae Sedis;Family Incertae Sedis;Marinicella;uncultured bacterium,0,0,0,0.000436567,0.000434028,0,0,0.000167043,0,0.000103831,0,0.000275204
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Rickettsiaceae;uncultured;uncultured bacterium,0,0,5.04E-05,0,0.000108507,0.000466164,0.000675524,0,0,0.000103831,0,0
Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bdellovibrionaceae;OM27 clade;uncultured delta proteobacterium,0,0,0,0.000349253,0,7.77E-05,0.000225175,0,7.77E-05,0.000103831,0,0.000550408
Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bdellovibrionaceae;OM27 clade;uncultured bacterium,0,0,0,0.000611194,0,0,0,0,0,0.000103831,0,0.000642143
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;uncultured;uncultured bacterium,0,0,0,8.73E-05,0,0,0,0,0,0.001245977,0,0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;MWH-UniP1 aquatic group;uncultured bacterium,0,0,0,8.73E-05,0.000108507,0.000155388,0,0.000250564,7.77E-05,0.000519157,0,9.17E-05
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;S25-593;uncultured bacterium;Other,0,0,0,0.000349253,0,7.77E-05,0,0,0,0.000311494,0.000274901,0.000275204
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;NS9 marine group;uncultured Flavobacteriales bacterium;Other,0.000146499,0.000528728,0.000403084,0,0,0,0,0,0,0.000103831,9.16E-05,0
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Escherichia-Shigella;Escherichia coli O104:H4 str. C227-11,0,0,0,0,0,0,0,0,0.001243781,0,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;ZD0405;uncultured bacterium;Other,0.000146499,0,0,0,0,0,0,0.000334085,0,0.000103831,0,0.000642143
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;uncultured;uncultured Bacteroidetes bacterium,0.000219748,0.000176243,0.000655011,0,0,0,0,0,0.000155473,0,0,0
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Tenacibaculum;uncultured bacterium,0,0,0,0,0,0,0.001125873,0,0,0,0,0
Bacteria;Tenericutes;Mollicutes;Mycoplasmatales;Mycoplasmataceae;Mycoplasma;Mycoplasma iguanae,0.000146499,0,0,0,0.000108507,0,0,0,0.000621891,0,0.000183268,0
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;uncultured Flavobacteriaceae bacterium;Other,0,0,0,0.000349253,0,0,0,0.000250564,0.000233209,0.000207663,0,0
Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;0319-6G20;uncultured proteobacterium;Other,7.32E-05,0,0,0,0,0,0,0,0.000310945,0,0.000641437,0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;uncultured;uncultured alpha proteobacterium,0,0,0,0.000436567,0,0,0,8.35E-05,0,0.000311494,0,0.000183469
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;uncultured;uncultured marine bacterium,0,0,0,0,0,0,0,0,7.77E-05,0.000830651,9.16E-05,0
Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Chesapeake-Delaware Bay;uncultured SAR11 cluster alpha proteobacterium;Other,0,0,0,0,0.000651042,0,0,0,0.000155473,0,0,0.000183469
Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bacteriovoracaceae;uncultured;uncultured bacterium,7.32E-05,8.81E-05,0,0,0,0,0,0,0,0.00072682,9.16E-05,0
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacter;uncultured Caulobacterales bacterium,0.000439496,0.000352485,0,0,0,0,0,0.000167043,0,0,0,0
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Erythrobacter;uncultured Sphingomonadales bacterium,0,0,0,0.000436567,0,0,0,0,0.000155473,0,9.16E-05,0.000275204
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Candidatus Planktomarina (DC5-80-3 lineage);uncultured alpha proteobacterium,0.000952241,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;NS9 marine group;uncultured Flavobacteriia bacterium;Other,0.000146499,0,0,0,0,0.00038847,0,0,0,0.000415326,0,0
Bacteria;Actinobacteria;Actinobacteria;PeM15;uncultured actinobacterium;Other;Other,7.32E-05,0,0,8.73E-05,0,0,0,0.000167043,0.000155473,0,0.000458169,0
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Algibacter;Algibacter lectus,0,0,0,0,0,0,0,0,0.000932836,0,0,0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Tateyamaria;uncultured alpha proteobacterium,0,0,0,0,0,0,0,0,0.000466418,0,0,0.000458674
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;SAR92 clade;uncultured marine bacterium,0,8.81E-05,0,0,0.000651042,0,0,0,0,0,0,0.000183469
Bacteria;Chloroflexi;SAR202 clade;uncultured Chloroflexi bacterium;Other;Other;Other,0,0,0,0,0,0.000155388,0,0.000250564,7.77E-05,0.000415326,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Glaciecola;uncultured gamma proteobacterium,0,8.81E-05,5.04E-05,0,0.000759549,0,0,0,0,0,0,0
Bacteria;Verrucomicrobia;Opitutae;Puniceicoccales;Puniceicoccaceae;Coraliomargarita;uncultured bacterium,0,0,0,0.000174627,0.000542535,0,0,0,0.000155473,0,0,0
Bacteria;Proteobacteria;Betaproteobacteria;Methylophilales;Methylophilaceae;OM43 clade;uncultured Methylophilaceae bacterium,0,0,0,0,0,0,0,0,0.000777363,0,9.16E-05,0
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;Halomonas;Halomonas sp. P24,0.000439496,0,0,0,0.000217014,0,0,0,0,0.000207663,0,0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Nitrospinaceae;Nitrospina;uncultured organism,0,0,0,0,0,0,0,0,0.000233209,0.000622988,0,0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;uncultured bacterium,0,0,0,0.000349253,0,7.77E-05,0,0.000167043,0,0.000207663,0,0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Magnetospira;uncultured bacterium,0,0,0.000100771,8.73E-05,0,0,0,0.000167043,0.000233209,0.000207663,0,0
Bacteria;Verrucomicrobia;Opitutae;Puniceicoccales;Puniceicoccaceae;Lentimonas;uncultured bacterium,0,0,0,0,0,0,0,0,0.000699627,0,9.16E-05,0
Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Coxiellaceae;Coxiella;uncultured bacterium,0,0,0,8.73E-05,0,0,0,0,0.000310945,0.000207663,9.16E-05,9.17E-05
Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae;Fabibacter;uncultured bacterium,0,0,0,0,0.000108507,0,0,0,0.000388682,0,0.000274901,0
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Pseudoalteromonadaceae;Pseudoalteromonas;North Sea bacterium 12-13,0.000585995,0.000176243,0,0,0,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Aquabacterium;uncultured bacterium,0.000366247,0,0,0,0,7.77E-05,0,0,0,0.000207663,0,9.17E-05
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;GR-WP33-58;uncultured delta proteobacterium;Other,0,0,0,0,0.000108507,7.77E-05,0.000450349,0,0,0.000103831,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Porticoccus;uncultured bacterium,7.32E-05,0,0,0.00026194,0.000325521,0,0,0,7.77E-05,0,0,0
Bacteria;Fibrobacteres;Fibrobacteria;Fibrobacterales;Fibrobacteraceae;Fibrobacter;uncultured bacterium,0,0,0,8.73E-05,0,0,0,0,0,0,0.000274901,0.000366939
Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae;Fabibacter;uncultured Flexibacteraceae bacterium,0,0,5.04E-05,0,0,0,0.000675524,0,0,0,0,0
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Cryomorphaceae;Owenweeksia;uncultured Owenweeksia sp.,0,0,0,0.000174627,0,0,0,0,0,0,0,0.000550408
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Pseudospirillum;uncultured bacterium,0,0,0,0.000174627,0.000542535,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;OM182 clade;uncultured bacterium;Other,0,0,0,0,0.000542535,7.77E-05,0,0,0,0,0,9.17E-05
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylobacteriaceae;Methylobacterium;uncultured bacterium,7.32E-05,0,5.04E-05,0,0,0.000233082,0,8.35E-05,7.77E-05,0,9.16E-05,9.17E-05
Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Surface 3;uncultured bacterium;Other,0,0,0,0,0,0,0,0.000417606,0,0,0.000183268,9.17E-05
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;KD3-93;uncultured bacterium;Other,7.32E-05,0,0,0,0,0.00038847,0.000225175,0,0,0,0,0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Delftia;uncultured organism,0,0.000528728,0.000151156,0,0,0,0,0,0,0,0,0
Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae;Reichenbachiella;uncultured organism,0.000585995,0,0,0,0,0,0,0,0,0,0,9.17E-05
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Curvibacter;uncultured Curvibacter sp.,0.000585995,8.81E-05,0,0,0,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Pseudospirillum;uncultured gamma proteobacterium,0.000146499,0,0.000151156,8.73E-05,0,0,0,8.35E-05,7.77E-05,0.000103831,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;BD1-7 clade;uncultured bacterium,0,0,0,8.73E-05,0.000542535,0,0,0,0,0,0,0
Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Propionibacterium;uncultured bacterium,7.32E-05,0,0,0,0.000108507,0,0,8.35E-05,0.000155473,0.000207663,0,0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Thalassobaculum;bacterium DG949,0,0,0,0,0,0,0,8.35E-05,0.000544154,0,0,0
Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Candidatus Accumulibacter;uncultured bacterium,0,0,0,0,0,0,0,0,0,0.000622988,0,0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfarculales;Desulfarculaceae;uncultured;uncultured delta proteobacterium,0.000219748,0,0,0,0,0,0,8.35E-05,0,0.000207663,9.16E-05,0
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Litoricolaceae;Litoricola;uncultured bacterium,0,0,0,0,0.000108507,0,0,0,0.000388682,0.000103831,0,0
Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Surface 4;uncultured alpha proteobacterium;Other,0,0,0,0.000174627,0.000217014,0,0,0,0,0,0,0.000183469
Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae;Reichenbachiella;uncultured Cytophaga sp.,0,0,0,0,0,0,0,8.35E-05,0,0.000103831,0.000274901,9.17E-05
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;MSBL7;uncultured bacterium,0,0,0,0,0,0,0,8.35E-05,0.000466418,0,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;ZD0405;uncultured gamma proteobacterium;Other,0.000146499,0,0,0,0,0,0,0,0,0.000311494,0,9.17E-05
Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bacteriovoracaceae;Peredibacter;uncultured Peredibacter sp.,0,8.81E-05,0,0,0,0,0,0,7.77E-05,0.000103831,0.000183268,9.17E-05
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Pseudospirillum;uncultured marine bacterium,0,0,0,0,0.000542535,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;SAR86 clade;uncultured gamma proteobacterium;Other,0,0,0,0.00052388,0,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;AEGEAN-169 marine group;marine metagenome,0,0,0,0,0.000434028,0,0,8.35E-05,0,0,0,0
